Metabolite,LigandStructureId
"1,3-bisphosphoglycerate",462
"2,3-bisphosphoglycerate",557
"2,3-dihydroxybenzoic acid",1032
2-dehydro-D-gluconate,2101
2-phosphoglycerate,606
3-phosphoglycerate,161568
4-hydroxybenzoate,311
6-phospho-D-gluconate,327
acetoacetyl-CoA,167
acetyl-CoA,27
acetylphosphate,305
aconitate,64263
adenine,136
adenosine,116
ADP,8
ADP-glucose,493
alanine,97
AMP,9
anthranilate,394
arginine,117
asparagine,231
aspartate,91
ATP,7
citrate,125
citrulline,1108
CMP,94
coenzyme-A,10
CTP,56
cysteine,70
cytidine,314
cytosine,406
dAMP,575
dATP,133
dCDP,852
dCMP,376
dCTP,161
deoxyadenosine,304
deoxyguanosine,419
dGMP,587
dihydroorotate,709
dihydroxyacetonephosphate,241
dTDP,449
dTMP,518
dTTP,137
erythrose-4-phosphate,1137
FAD,14
flavin mononucleotide,52
"fructose-1,6-bisphosphate",100
fructose-6-phosphate,82
fumarate,156
GDP,49
gluconate,562
gluconolactone,388
glucosamine-6-phosphate,99
glucose-6-phosphate,99
glutamate,38
glutamine,96
glutathione,41
glutathione disulfide,283
glyceraldehyde 3-phosphate,473
glycerate,1287
glycine,68
GMP,150
GTP,35
guanine,179
guanosine,256
histidine,296
histidinol,1822
homocysteine,260
IDP,372
IMP,206
inosine,154
isocitrate,242
isoleucine,266
ITP,203
leucine,121
lysine,128
malate,246
malonyl-CoA,72
methionine,83
myo-inositol,379
N-Acetyl-L-alanine,2128
N-Acetyl-L-aspartic acid,1675
NAD+,4
NADH,3
NADP+,6
NADPH,5
ornithine,172
orotate,373
oxaloacetate,53
phenylalanine,98
phenylpyruvate,178
phosphoenolpyruvate,47
proline,215
propionyl-CoA,297
pyruvate,29
quinolinate,1319
riboflavin,298
ribose-5-phosphate,165
ribulose-5-phosphate,371
S-adenosyl-L-homocysteine,34
S-adenosyl-L-methionine,22
sedoheptulose-7-phosphate,1242
serine,89
shikimate,299
sn-glycerol 3-phosphate,352
succinate,54
succinyl-CoA,198
taurine,490
threonine,220
thymidine,153
trehalose,140195
tryptophan,113
tyrosine,103
UDP,24
UDP-glucose,60
UDP-glucuronate,200
UDP-N-acetyl-glucosamine,120
UMP,127
uridine,227
UTP,61
valine,217
